Hid;ln
4957200;6409
4957300;3886
4957600;5605
4957900;506
4958100;3674
4958500;4845
4958800;6028
4958900;5810
4959100;6118
4959300;8062
4959600;4520
4959800;3508
4960000;6398
4960100;7594
4960200;1136
4960300;3642
4960600;548
4960800;4971
4960900;3896
4961500;4462
4962100;1960
4962500;259
4962700;5142
4962900;8977
4963200;2850
4963201;7283
4963600;8328
4964000;7646
4964300;8727
4964400;6905
4964500;4910
4964800;5731
4964900;3040
4965200;2527
4965500;1882
4965600;7722
4965800;8251
4966100;6609
4966700;8061
4966800;2727
4966900;4081
4967000;1100
4967400;6244
4967500;3792
4967600;7038
4968100;3568
4969100;6252
4969700;2818
4969800;6618
4969900;1990
4970200;3098
4970400;8002
4970500;3393
4971000;2917
4971700;8370
4971800;6826
4971900;6711
4972000;4378
4972300;1043
4972700;7736
4972900;3804
4973100;6168
4973700;3579
4974300;3252
4974400;6623
4974500;3832
4974700;2161
4975300;5631
4975500;1233
4975700;8693
4975900;4698
4976000;1533
4976300;103
4976600;3723
4977000;9246
4977100;3128
4977200;375
4977300;3912
4977700;687
4977800;5245
4978000;470
4978100;505
4978400;3659
4978700;8320
4978900;3505
4979000;6831
4979100;3159
4979200;6524
4979900;1628
4980000;486
4980100;5893
4980600;7169
4980800;3970
4980900;1883
4981600;8021
4982000;3155
4982300;1910
4982400;6516
4982600;961
4983600;477
4983700;2742
4984300;2247
4984400;7973
4984500;6417
4984900;1437
4985200;8359
4985400;5754
4986000;4694
4986500;8868
4986600;7397
4987000;4515
4987300;339
4987600;17
4988700;5732
4988800;6687
4989200;6530
4989500;8823
4989600;3697
4989700;1655
4989800;2259
4989900;8755
4990100;8323
4990900;6663
4991000;899
4991100;212
4991200;8400
4991900;6300
4992000;4086
4992100;1667
4992200;6069
4992500;5735
4992600;7192
4992800;5378
4992900;7147
4993000;1254
4993100;5879
4993200;4308
4993300;2470
4993500;2194
4993600;9222
4993700;2668
4994100;2977
4994300;1578
4994900;5196
4995200;1224
4995500;1115
4995700;540
4995800;785
4995900;8758
4996000;8544
4996300;9182
4996400;4982
4996600;1213
4996800;221
4996900;1160
4997700;6490
4997800;1609
4997900;3257
4998300;6306
4998400;2886
