jahr;HID;hgew;D002000;D003000;D004010;D004020;hsize;bundesld;db100;region;oecdregtyp;urtyp;modus
2019;5837700; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5837800;260,7987;11;11;4;2;4;4;3;4;3;410;1
2019;5837900; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;5838000;386,48854;11;11;3;0;3;4;3;4;3;410;1
2019;5838100;966,11069;11;11;3;0;3;4;2;3;2;102;1
2019;5838200;379,98788;11;11;1;0;1;9;1;1;1;101;1
2019;5838300;801,48974;11;11;2;0;2;7;2;3;3;103;1
2019;5838400; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;5838500; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;5838600;820,20001;11;11;4;2;4;7;3;4;3;410;1
2019;5838700;302,5538;11;11;1;0;1;9;1;1;1;101;1
2019;5838800;528,03332;11;11;2;0;2;3;3;4;2;410;1
2019;5838900; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;5839000; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;5839100; ;11;22;-3;-3; ;7;2;3;-1;-1; 
2019;5839200;429,49762;11;11;2;0;2;9;1;1;1;101;1
2019;5839300;485,92529;11;11;1;0;1;6;3;4;2;410;1
2019;5839400;837,06301;11;11;3;0;3;7;3;4;3;420;1
2019;5839500; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5839600;405,43021;11;11;1;0;1;9;1;1;1;101;1
2019;5839700;868,39079;11;11;4;1;4;4;2;3;3;102;1
2019;5839800; ;11;22;-3;-3; ;6;3;4;-1;-1; 
2019;5839900; ;11;21;-3;-3; ;7;1;2;-1;-1; 
2019;5840000;517,3761;11;11;1;0;1;3;2;3;2;101;1
2019;5840100; ;11;28;-3;-3; ;3;3;4;-1;-1; 
2019;5840200; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;5840300; ;11;21;-3;-3; ;6;3;4;-1;-1; 
