"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","FONPURCH","INTAWAY","INTAWAY_","INTAWYX","INTAWYX_","FONCARDX","FONC_RDX","PRPYCELL","PRPY_ELL","PRPYCLX","PRPYCLX_"
"20191","03899714","41","0","1","","2","D","","A","","A","","A","","A"
"20191","03899744","24","0","1","","2","D","","A","","A","","A","","A"
"20191","03899754","10","0","1","","2","D","","A","","A","","A","","A"
"20191","03899774","20","0","1","","2","D","","A","","A","","A","","A"
"20191","03899794","24","0","1","","2","D","","A","","A","","A","","A"
"20191","03899804","42","0","1","","2","D","","A","","A","","A","","A"
"20191","03899814","23","0","1","","2","D","","A","","A","","A","","A"
"20191","03899824","24","0","1","","2","D","","A","","A","","A","","A"
"20191","03899904","57","0","1","","2","D","","A","","A","","A","","A"
"20191","03899934","54","0","1","","2","D","","A","","A","","A","","A"
"20191","03899954","31","0","1","","2","D","","A","","A","","A","","A"
"20191","03899964","12","0","1","","2","D","","A","","A","","A","","A"
"20191","03900044","60","0","1","","2","D","","A","","A","","A","","A"
"20191","03900074","35","0","1","","2","D","","A","","A","","A","","A"
"20191","03900084","29","0","1","","2","D","","A","","A","","A","","A"
"20191","03900124","10","0","1","","2","D","","A","","A","","A","","A"
"20191","03900134","26","0","1","","2","D","","A","","A","","A","","A"
"20191","03900164","27","0","1","","2","D","","A","","A","","A","","A"
"20191","03900194","17","0","1","","2","D","","A","","A","","A","","A"
"20191","03900214","19","0","1","","2","D","","A","","A","","A","","A"
"20191","03900224","38","0","1","","2","D","","A","","A","","A","","A"
"20191","03900254","11","0","1","","2","D","","A","","A","","A","","A"
"20191","03900314","23","0","1","","2","D","","A","","A","","A","","A"
"20191","03900334","49","0","1","","2","D","","A","","A","","A","","A"
"20191","03900344","12","0","1","","2","D","","A","","A","","A","","A"
"20191","03900394","31","0","1","","2","D","","A","","A","","A","","A"
"20191","03900414","24","0","1","","2","D","","A","","A","","A","","A"
"20191","03900424","36","0","1","","2","D","","A","","A","","A","","A"
"20191","03900444","40","0","1","","2","D","","A","","A","","A","","A"
"20191","03900474","9","0","1","","2","D","","A","","A","","A","","A"
"20191","03900484","52","0","1","","2","D","","A","","A","","A","","A"
"20191","03900504","66","0","1","","2","D","","A","","A","","A","","A"
"20191","03900534","19","0","1","","2","D","","A","","A","","A","","A"
"20191","03900544","25","0","1","","2","D","","A","","A","","A","","A"
"20191","03900564","33","0","1","","2","D","","A","","A","","A","","A"
"20191","03900584","34","0","1","","2","D","","A","","A","","A","","A"
"20191","03900594","17","0","1","","2","D","","A","","A","","A","","A"
"20191","03900624","26","0","1","","2","D","","A","","A","","A","","A"
"20191","03900724","26","0","1","","2","D","","A","","A","","A","","A"
"20191","03900744","26","0","1","","2","D","","A","","A","","A","","A"
"20191","03900754","49","0","1","","2","D","","A","","A","","A","","A"
"20191","03900804","32","0","1","","2","D","","A","","A","","A","","A"
"20191","03900824","18","0","1","","2","D","","A","","A","","A","","A"
"20191","03900844","29","0","1","","2","D","","A","","A","","A","","A"
"20191","03900874","32","0","1","","2","D","","A","","A","","A","","A"
