"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20191","03902384","26","0","1","150","D","13","D","560","D"
"20191","03902464","4","0","1","170","D","12","D","350","D"
"20191","03902464","5","0","1","150","D","13","D","40","D"
"20191","03902484","2","0","1","100","D","13","D","200","D"
"20191","03902484","3","0","1","150","D","13","D","200","D"
"20191","03902514","9","0","1","110","D","13","D","2200","D"
"20191","03902514","10","0","1","150","D","13","D","100","D"
"20191","03902534","1","0","1","160","D","13","D","28","D"
"20191","03902544","3","0","1","170","D","12","D","27800","D"
"20191","03902544","4","0","1","160","D","13","D","50","D"
"20191","03902664","11","0","1","140","D","01","D","100","D"
"20191","03902704","3","0","1","170","D","12","D","2000","D"
"20191","03902704","4","0","1","150","D","13","D","200","D"
"20191","03902754","1","0","1","170","D","12","D","200","D"
"20191","03902754","2","0","1","150","D","12","D","965","D"
"20191","03902764","16","0","1","150","D","12","D","2000","D"
"20191","03902774","3","0","1","150","D","13","D","20","D"
"20191","03902814","5","0","1","160","D","12","D","100","D"
"20191","03902844","1","0","1","160","D","12","D","25","D"
"20191","03902944","1","0","1","150","D","13","D","600","D"
"20191","03903134","6","0","1","170","D","13","D","475","D"
"20191","03903134","7","0","2","170","D","11","D","430","D"
"20191","03903184","2","0","1","170","D","12","D","200","D"
"20191","03903184","3","0","1","110","D","12","D","890","F"
"20191","03903184","4","0","1","120","D","12","D","2634","F"
"20191","03903294","5","0","1","170","D","12","D","300","D"
"20191","03903334","4","0","1","160","D","12","D","400","D"
"20191","03903404","21","0","1","170","D","01","D","200","D"
"20191","03903404","22","0","1","100","D","01","D","200","D"
"20191","03903424","8","0","1","150","D","13","D","500","D"
"20191","03903474","1","0","1","170","D","12","D","350","D"
"20191","03903504","6","0","1","170","D","01","D","20","D"
"20191","03903564","1","0","1","160","D","13","D","40","D"
"20191","03903564","2","0","1","160","D","13","D","42","D"
"20191","03903564","3","0","1","160","D","13","D","10","D"
"20191","03903604","3","0","1","160","D","12","D","25","D"
"20191","03903614","1","0","1","150","D","13","D","200","D"
"20191","03903614","2","0","2","170","D","11","D","50","D"
"20191","03903644","1","0","1","160","D","13","D","25","D"
"20191","03903744","4","0","1","170","D","12","D","500","D"
"20191","03903754","2","0","1","150","D","01","D","30","D"
"20191","03903764","3","0","1","160","D","12","D","50","D"
"20191","03903764","4","0","1","160","D","12","D","100","D"
"20191","03903814","1","0","1","160","D","01","D","110","D"
"20191","03903854","4","0","1","170","D","12","D","400","D"
"20191","03903854","5","0","1","150","D","13","D","20","D"
"20191","03903864","8","0","1","170","D","12","D","200","D"
"20191","03903924","15","0","1","150","D","12","D","20","D"
"20191","03903964","7","0","1","160","D","12","D","1000","D"
"20191","03903984","6","0","2","170","D","11","D","40","D"
"20191","03904164","2","0","1","170","D","12","D","500","D"
"20191","03904164","3","0","1","150","D","13","D","90","D"
