"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MAJAPPLY","MAJA_PLY","GFTC_MAJ","GFTC0MAJ","MAJ_MO","MAJ_MO_","MAJPURX","MAJPURX_","MAJRENTX","MAJR_NTX","MAJINSTX","MAJI_STX","MJAPPL1","MJAPPL1_","MJAPPL2","MJAPPL2_","MJAPPL3","MJAPPL3_","MJAPPL4","MJAPPL4_","MJAPPL5","MJAPPL5_","MJAPPL6","MJAPPL6_","MJAPPL7","MJAPPL7_","MJAPPL8","MJAPPL8_","MJAPPL9","MJAPPL9_"
"20193","04222691","1","0","1","120","D","1","D","04","D","76","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04223631","1","0","1","140","D","3","D","05","D","1800","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04223661","1","0","1","100","D","1","D","06","D","595","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04223791","1","0","1","140","D","1","D","05","D","1250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04223801","1","0","1","140","D","1","D","04","D","849","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04224041","1","0","1","195","D","1","D","04","D","1400","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04224334","1","0","1","195","D","1","D","05","D","2500","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04224391","1","0","1","195","D","1","D","05","D","1400","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04224421","1","0","1","120","D","1","D","06","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04224561","1","0","1","195","D","1","D","06","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04224911","1","0","1","195","D","1","D","05","D","800","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04224921","1","0","1","195","D","1","D","04","D","410","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
