"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMLOC","NUMLOC_","LOCLODGX","LOCL_DGX","ALCMEALX","ALCM_ALX","ALCGROCX","ALCG_OCX","LOCADMSX","LOCA_MSX","FOODLCDL","FOOD_CDL","LODGLCDL","LODG_CDL","ENTRLCDL","ENTR_CDL","ELSELCDL","ELSE_CDL","QLCMLAX","QLCMLAX_","QLCGLAX","QLCGLAX_"
"20193","04176522","15","0","1","1","D","70","D","","A","","A","","A","","A","","A","","A","","A","","A","40","D"
"20193","04177262","54","0","1","2","D","220","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04178292","26","0","1","2","D","260","D","","A","","A","","A","","A","","A","","A","","A","40","D","60","D"
"20193","04179102","42","0","1","3","D","172","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04179822","43","0","1","1","D","120","D","","A","","A","","A","","A","","A","","A","","A","50","D","","A"
"20193","04180502","28","0","1","1","D","100","D","15","D","","A","","A","","A","","A","","A","","A","15","D","","A"
"20193","04180822","66","0","1","2","D","485","G","56","G","","A","","A","1","D","1","D","2","D","2","D","409","G","","A"
"20193","04181582","26","0","1","1","D","180","D","","A","","A","280","D","","A","","A","","A","","A","200","D","","A"
"20193","04183542","49","0","1","3","D","","A","15","D","","A","","A","","A","","A","","A","","A","35","D","","A"
"20193","04183562","5","0","1","","C","","A","","A","","A","","A","","A","","A","","A","","A","","A","30","F"
"20193","04184592","14","0","1","2","D","286","D","20","D","","A","","A","","A","","A","","A","","A","40","D","","A"
"20193","04185532","30","0","1","2","D","10","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04188682","22","0","1","1","D","160","D","","A","","A","","A","","A","","A","","A","","A","20","D","","A"
"20193","04191162","34","0","1","2","D","300","D","","A","","A","","A","","A","","A","","A","","A","300","F","","A"
"20193","04192242","39","0","1","1","D","200","D","15","F","","A","","A","","A","","A","","A","","A","15","F","","A"
"20193","04193712","20","0","1","21","D","1000","D","","A","","A","","A","","A","","A","","A","","A","300","D","","A"
"20193","04195202","51","0","1","3","D","378","D","60","D","","A","","A","","A","","A","","A","","A","90","D","","A"
"20193","04202962","34","0","1","2","D","250","D","","A","","A","","A","","A","","A","","A","","A","100","D","","A"
"20193","04204212","26","0","1","1","D","125","D","","A","","A","","A","","A","","A","","A","","A","50","D","","A"
"20193","04204542","26","0","1","1","D","104","D","","A","","A","90","D","","A","","A","","A","","A","25","D","30","D"
"20193","04216801","63","0","1","1","D","200","D","","A","","A","","A","","A","","A","","A","","A","60","D","","A"
"20193","04218441","43","0","1","1","D","150","D","20","D","","A","","A","","A","","A","","A","","A","30","D","25","D"
"20193","04219561","19","0","1","3","D","300","D","","A","","A","","A","","A","","A","","A","","A","200","D","50","D"
"20193","04220081","20","0","1","1","D","85","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04222801","28","0","1","1","D","125","D","","A","","A","","A","","A","","A","","A","","A","75","D","","A"
"20193","04223341","23","0","1","1","D","255","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04225771","7","0","1","1","D","458","G","75","G","","A","","A","1","D","1","D","2","D","2","D","217","G","","A"
"20193","04227971","21","0","1","1","D","97","D","","A","","A","","A","","A","","A","","A","","A","40","D","20","D"
"20193","04230821","35","0","1","1","D","145","D","","A","","A","","A","","A","","A","","A","","A","100","D","30","D"
"20193","04237021","22","0","1","3","D","350","D","47","D","","A","","A","","A","","A","","A","","A","0","D","","A"
"20193","04237411","35","0","1","2","D","215","D","40","D","","A","40","D","","A","","A","","A","","A","80","D","","A"
"20193","04243181","35","0","1","12","D","","A","50","D","40","D","","A","","A","","A","","A","","A","150","D","35","D"
"20193","04243691","47","0","1","2","D","279","F","150","D","","A","","A","","A","","A","","A","","A","150","D","","A"
"20193","04244541","35","0","1","1","D","100","D","40","D","","A","","A","","A","","A","","A","","A","60","D","","A"
"20193","04244881","36","0","1","2","D","","A","","A","","A","20","D","","A","","A","","A","","A","","A","3","D"
"20193","04245711","24","0","1","1","D","110","D","","A","","A","","A","","A","","A","","A","","A","25","D","","A"
"20194","04070454","38","0","1","1","D","110","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20194","04071714","35","0","1","1","D","130","D","","A","","A","","A","","A","","A","","A","","A","100","D","","A"
"20194","04071914","56","0","1","6","D","1500","D","75","F","","A","","A","","A","","A","","A","","A","225","F","","A"
"20194","04073194","76","0","1","10","D","","A","50","D","160","D","","A","","A","","A","","A","","A","350","D","240","D"
"20194","04073454","48","0","1","1","D","110","D","","A","","A","","A","","A","","A","","A","","A","59","D","","A"
"20194","04078094","17","0","1","6","D","700","D","","A","","A","40","D","","A","","A","","A","","A","150","D","","A"
"20194","04091094","37","0","1","1","D","96","D","","A","","A","70","D","","A","","A","","A","","A","75","D","","A"
"20194","04091804","17","0","1","1","D","35","D","12","D","","A","","A","","A","","A","","A","","A","12","D","","A"
"20194","04094514","26","0","1","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","100","D"
"20194","04101474","25","0","1","1","D","100","G","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20194","04104534","28","0","1","1","D","119","G","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20194","04107514","31","0","1","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","300","D"
"20194","04110144","27","0","1","1","D","98","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20194","04174143","34","0","1","1","D","125","D","","A","","A","","A","","A","","A","","A","","A","60","D","","A"
"20194","04177683","19","0","1","2","D","250","D","30","D","","A","","A","","A","","A","","A","","A","70","D","","A"
"20194","04177723","33","0","1","4","D","600","D","","A","","A","","A","","A","","A","","A","","A","175","D","","A"
