"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","EDUC_AY","EDUC_AY_","EDUCGFTC","EDUC_FTC","EDSCHL_A","EDSC_L_A","EDMONTHA","EDMO_THA","EDREIMBX","EDRE_MBX","JEDUCNET","JEDU_NET","EDUC_A1","EDUC_A1_","EDUC_A2","EDUC_A2_","EDUC_A3","EDUC_A3_","EDUC_A4","EDUC_A4_","EDUC_A5","EDUC_A5_","EDUC_A6","EDUC_A6_","EDUC_A7","EDUC_A7_","EDUC_A8","EDUC_A8_","EDUC_A9","EDUC_A9_"
"20191","03901934","7","0","1","350","D","1","D","1","D","01","D","","A","75","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901964","12","0","1","345","D","1","D","","A","12","D","","A","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901964","13","0","1","350","D","1","D","2","D","12","D","","A","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03902024","3","0","1","100","D","1","D","","A","12","D","","A","350","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03902144","5","0","1","300","D","1","D","1","D","01","D","","A","2600","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03902284","2","0","1","100","D","1","D","","A","01","D","","A","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03902284","3","0","1","300","D","1","D","1","D","01","D","","A","7000","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03902284","4","0","1","350","D","1","D","1","D","01","D","","A","80","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03902284","5","0","1","360","D","1","D","","A","01","D","","A","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03902664","12","0","1","350","D","1","D","6","D","12","D","","A","10","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03902764","17","0","1","300","D","1","D","1","D","01","D","","A","460","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03902764","18","0","1","350","D","1","D","1","D","01","D","","A","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03902764","19","0","1","360","D","1","D","","A","01","D","","A","65","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03902774","4","0","1","360","D","1","D","","A","01","D","","A","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03902774","5","0","1","360","D","1","D","","A","12","D","","A","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903114","19","0","1","100","D","1","D","","A","13","D","","A","90","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903114","20","0","1","100","D","1","D","","A","13","D","","A","45","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903114","21","0","1","200","D","1","D","","A","13","D","","A","535","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903164","4","0","1","300","D","1","D","1","D","13","D","","A","500","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903164","5","0","1","345","D","1","D","","A","12","D","","A","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903424","9","0","1","200","D","1","D","","A","13","D","","A","125","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903654","10","0","1","100","D","1","D","","A","13","D","","A","160","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903734","2","0","1","350","D","1","D","2","D","01","D","","A","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903744","5","0","1","100","D","1","D","","A","13","D","","A","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903744","6","0","1","100","D","1","D","","A","13","D","","A","95","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903744","7","0","1","200","D","1","D","","A","13","D","","A","400","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903854","6","0","1","300","D","1","D","2","D","01","D","","A","73","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903854","7","0","1","320","D","1","D","","A","13","D","","A","80","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903904","4","0","1","200","D","1","D","","A","13","D","","A","800","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903904","5","0","1","200","D","1","D","","A","13","D","","A","240","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903924","16","0","1","100","D","1","D","","A","13","D","","A","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03903924","17","0","1","200","D","1","D","","A","13","D","","A","1026","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03904444","5","0","1","300","D","1","D","1","D","01","D","","A","2000","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03904444","6","0","1","350","D","1","D","1","D","01","D","","A","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03904474","8","0","1","300","D","1","D","1","D","01","D","","A","1950","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03904474","9","0","1","100","D","1","D","","A","13","D","","A","226","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03904474","10","0","1","100","D","1","D","","A","13","D","","A","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03904754","7","0","1","300","D","1","D","2","D","13","D","","A","1000","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03904784","5","0","1","200","D","1","D","","A","11","D","","A","1044","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03904784","6","0","1","200","D","1","D","","A","13","D","","A","944","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03904904","8","0","1","300","D","1","D","1","D","01","D","","A","10300","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03904984","3","0","1","300","D","1","D","1","D","01","D","","A","1785","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03904994","16","0","1","360","D","1","D","","A","01","D","","A","600","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
