"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MEDRCARY","MEDR_ARY","MEDRGFTC","MEDR_FTC","MEDRMBMO","MEDR_BMO","MEDRMBX","MEDRMBX_","MEDRCY1","MEDRCY1_","MEDRCY2","MEDRCY2_","MEDRCY3","MEDRCY3_","MEDRCY4","MEDRCY4_","MEDRCY5","MEDRCY5_","MEDRCY6","MEDRCY6_","MEDRCY7","MEDRCY7_","MEDRCY8","MEDRCY8_","MEDRCY9","MEDRCY9_","MEDRPRNT","MEDR_RNT","MEDRNOUT","MEDR_OUT"
"20191","04077881","20","0","1","530","D","1","D","11","D","240","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04077881","21","0","1","530","D","1","D","12","D","240","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04078581","10","0","1","420","D","1","D","10","D","71","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04079731","5","0","1","900","D","1","D","10","D","","H","510","D","420","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04079731","5","1","1","510","D","1","D","10","D","50","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04079731","5","2","1","420","D","1","D","10","D","150","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04091001","8","0","1","120","D","1","D","11","D","212","F","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04091001","9","0","1","620","D","1","D","01","D","65","F","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04091961","26","0","1","200","D","1","D","11","D","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04091961","27","0","1","200","D","1","D","12","D","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04091961","28","0","1","200","D","1","D","01","D","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04092151","14","0","1","330","D","1","D","01","D","500","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04093451","28","0","1","410","D","1","D","12","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D"
"20191","04094671","6","0","1","200","D","1","D","12","D","680","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04095191","8","0","1","200","D","1","D","12","D","1500","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04095371","13","0","1","620","D","1","D","12","D","80","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04095821","16","0","1","620","D","1","D","01","D","2600","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04102931","18","0","1","620","D","1","D","01","D","260","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04103311","32","0","1","510","D","1","D","02","D","125","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04103311","33","0","1","510","D","1","D","01","D","34","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04103491","7","0","1","620","D","1","D","01","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04104281","15","0","1","420","D","1","D","01","D","12","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04104631","20","0","1","120","D","1","D","02","D","70","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04104771","26","0","1","200","D","1","D","01","D","49","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04104981","11","0","1","620","D","1","D","12","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
