"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VEHICYC","VEHICYC_","VEHDISP","VEHDISP_","VDISPMO","VDISPMO_","SALEX","SALEX_","REIMBURX","REIM_URX","EXREIMBX","EXRE_MBX","LOANSTAT","LOAN_TAT","FINPAYMX","FINP_YMX","VEHICIC","VEHICIC_"
"20191","04035582","47","0","1","100","D","3","D","11","D","","A","","A","","A","2","D","","A","04","D"
"20191","04035622","43","0","1","130","D","1","D","01","D","2500","D","","A","","A","2","D","","A","04","D"
"20191","04037172","29","0","1","180","D","1","D","12","D","6000","D","","A","","A","1","D","6000","D","03","D"
"20191","04037892","23","0","1","110","D","1","D","01","D","4500","D","","A","","A","2","D","","A","01","D"
"20191","04038052","146","0","1","110","D","3","D","11","D","","A","","A","","A","2","D","","A","01","D"
"20191","04038052","147","0","1","100","D","3","D","11","D","","A","","A","","A","2","D","","A","03","D"
"20191","04038972","39","0","1","110","D","1","D","12","D","500","D","","A","","A","2","D","","A","08","D"
"20191","04039152","39","0","1","200","D","1","D","02","D","2000","D","","A","","A","2","D","","A","06","D"
"20191","04039492","26","0","1","100","D","6","D","01","D","","A","","A","","A","2","D","","A","01","D"
"20191","04039682","43","0","1","170","D","6","D","12","D","","A","","A","","A","2","D","","A","03","D"
"20191","04040203","50","0","1","110","D","2","D","02","D","","A","","A","","A","1","D","29056","F","01","D"
"20191","04040872","42","0","1","110","D","2","D","02","D","","A","","A","","A","2","D","","A","05","D"
"20191","04040964","13","0","1","100","D","3","D","12","D","","A","","A","","A","2","D","","A","01","D"
"20191","04041692","27","0","1","110","D","4","D","12","D","","A","","A","","A","2","D","","A","04","D"
"20191","04042502","43","0","1","160","D","1","D","02","D","3500","F","","A","","A","2","D","","A","04","D"
"20191","04042512","18","0","1","110","D","6","D","01","D","","A","","A","","A","2","D","","A","01","D"
"20191","04042552","73","0","1","180","D","4","D","12","D","","A","","A","","A","2","D","","A","06","D"
"20191","04043362","37","0","1","110","D","1","D","02","D","12000","D","","A","","A","2","D","","A","01","D"
"20191","04043712","20","0","1","110","D","2","D","02","D","","A","","A","","A","2","D","","A","01","D"
"20191","04045002","27","0","1","100","D","1","D","02","D","1100","D","","A","","A","2","D","","A","01","D"
"20191","04045142","17","0","1","110","D","4","D","12","D","","A","","A","","A","2","D","","A","01","D"
"20191","04045534","18","0","1","100","D","2","D","01","D","","A","","A","","A","2","D","","A","02","D"
