nohhold,nomem,gebjaar,geslacht,positie,oplzon,oplmet,bezighei,aantalhh,aantalki,sted,regio,prov,woonvorm,account,kostwin,partner,woning
47932,1,1976,2,1,5,5,1,1,0,NA,NA,NA,1,1,1,0,2
47979,1,1969,1,1,5,5,1,3,1,NA,NA,NA,3,1,1,1,1
47979,2,1970,2,2,3,3,7,3,1,NA,NA,NA,3,0,0,1,1
47979,3,2004,1,5,4,2,6,3,1,NA,NA,NA,3,0,0,1,1
48020,1,1983,2,2,5,5,1,2,0,NA,NA,NA,2,0,0,1,1
48020,2,1984,1,1,9,9,1,2,0,NA,NA,NA,2,1,1,1,1
48051,1,1977,2,2,7,7,7,8,4,5,5,30,5,1,0,1,1
48051,3,2003,1,5,4,2,6,8,4,5,5,30,5,0,0,1,1
48051,4,2005,2,5,4,2,6,8,4,5,5,30,5,0,0,1,1
48051,5,1976,1,1,7,7,1,8,4,5,5,30,5,0,1,1,1
48051,6,2008,1,5,2,8,6,8,4,5,5,30,5,0,0,1,1
48051,7,2010,1,5,2,8,6,8,4,5,5,30,5,0,0,1,1
48051,9,2015,2,6,8,8,13,8,4,5,5,30,5,0,0,1,1
48051,10,2015,2,6,8,8,13,8,4,5,5,30,5,0,0,1,1
48115,1,1989,1,1,6,4,1,2,0,4,5,30,2,1,1,1,1
48115,2,1988,2,3,5,5,1,2,0,4,5,30,2,0,0,1,1
48164,1,1977,2,1,5,5,1,1,0,NA,NA,NA,1,1,1,0,1
48170,1,1954,1,1,5,5,8,2,0,5,4,25,2,1,1,1,1
48170,2,1952,2,2,3,3,7,2,0,5,4,25,2,0,0,1,1
48179,1,1944,2,2,3,1,7,2,0,NA,NA,NA,2,1,0,1,2
48179,2,1936,1,1,3,3,8,2,0,NA,NA,NA,2,0,1,1,2
48184,3,1983,2,2,5,5,1,2,0,4,4,23,2,1,1,1,1
48184,5,1981,1,1,6,6,1,2,0,4,4,23,2,0,0,1,1
48208,1,1980,1,1,6,5,1,2,0,NA,NA,NA,2,1,0,1,1
48208,2,1987,2,3,7,7,1,2,0,NA,NA,NA,2,0,1,1,1
48219,1,1998,2,1,7,4,6,4,0,NA,NA,NA,5,1,1,1,2
48219,2,1998,2,6,7,4,6,4,0,NA,NA,NA,5,0,0,1,2
48219,3,1998,2,6,7,4,6,4,0,NA,NA,NA,5,0,0,1,2
48219,4,1996,1,3,7,7,6,4,0,NA,NA,NA,5,0,0,1,2
48235,1,1991,2,1,6,6,1,2,0,NA,NA,NA,2,1,1,1,1
48235,2,1991,1,3,5,5,3,2,0,NA,NA,NA,2,0,0,1,1
48291,1,1973,2,1,6,6,1,1,0,NA,NA,NA,1,1,1,0,2
48335,1,1942,1,1,3,3,8,1,0,NA,NA,NA,1,1,1,0,2
48350,1,1984,2,2,6,6,1,4,2,2,2,28,3,1,0,1,1
48350,2,1977,1,1,5,3,1,4,2,2,2,28,3,0,1,1,1
48350,3,2012,1,5,2,8,6,4,2,2,2,28,3,0,0,1,1
48350,4,2016,1,5,8,8,13,4,2,2,2,28,3,0,0,1,1
48353,1,1989,1,1,6,5,1,1,0,NA,NA,NA,1,1,1,0,2
48548,1,1946,1,2,7,7,8,2,0,NA,NA,NA,2,1,0,1,2
48548,2,1946,2,1,7,7,8,2,0,NA,NA,NA,2,0,1,1,2
48564,1,1983,2,3,6,5,1,5,3,NA,NA,NA,3,1,0,1,2
48564,2,1984,1,1,5,5,1,5,3,NA,NA,NA,3,0,1,1,2
48564,3,2004,1,5,3,2,6,5,3,NA,NA,NA,3,0,0,1,2
48564,4,2006,1,5,3,2,6,5,3,NA,NA,NA,3,0,0,1,2
48564,5,2011,2,5,2,8,6,5,3,NA,NA,NA,3,0,0,1,2
48686,1,1948,1,1,5,5,8,2,0,2,4,25,2,1,1,1,1
48686,2,1950,2,2,3,3,7,2,0,2,4,25,2,0,0,1,1
48700,1,1966,1,1,3,3,4,1,0,NA,NA,NA,1,1,1,0,2
48746,1,1978,1,1,6,6,1,4,2,2,2,28,3,0,1,1,1
48746,2,1982,2,2,6,6,1,4,2,2,2,28,3,1,0,1,1
48746,3,2012,1,5,9,8,13,4,2,2,2,28,3,0,0,1,1
48746,4,2015,2,5,9,8,13,4,2,2,2,28,3,0,0,1,1
48755,1,1974,2,1,5,5,1,1,0,NA,NA,NA,1,1,1,0,1
48759,1,1991,2,3,6,6,1,2,0,NA,NA,NA,2,0,0,1,2
48759,2,1988,1,1,6,6,1,2,0,NA,NA,NA,2,1,1,1,2
48795,1,1972,1,1,6,6,1,5,3,4,4,23,3,0,1,1,1
48795,2,1975,2,2,6,6,1,5,3,4,4,23,3,1,0,1,1
48795,3,2001,1,5,4,2,1,5,3,4,4,23,3,0,0,1,1
48795,4,2003,2,5,4,2,12,5,3,4,4,23,3,0,0,1,1
48795,5,2006,2,5,3,2,13,5,3,4,4,23,3,0,0,1,1
48819,1,1960,2,1,4,4,1,1,0,3,2,26,1,1,1,0,1
48830,4,1941,2,1,3,3,8,1,0,3,2,28,1,1,1,0,2
48837,1,1957,1,1,6,5,1,1,0,NA,NA,NA,1,1,1,0,1
48857,1,1963,1,1,7,7,1,1,0,NA,NA,NA,1,1,1,0,1
48864,1,1953,1,1,7,7,1,2,0,4,2,28,2,1,1,1,1
48864,2,1961,2,2,6,5,1,2,0,4,2,28,2,0,0,1,1
48898,1,1969,2,2,4,4,1,4,2,4,5,30,3,1,0,1,1
48898,2,1963,1,1,5,5,1,4,2,4,5,30,3,0,1,1,1
48898,3,1996,2,5,4,4,1,4,2,4,5,30,3,0,0,1,1
48898,4,1998,1,5,5,5,1,4,2,4,5,30,3,0,0,1,1
48944,1,1986,2,2,5,5,1,3,1,1,1,28,3,0,0,1,1
48944,2,1983,1,1,5,5,1,3,1,1,1,28,3,1,1,1,1
48944,3,2015,2,5,2,8,13,3,1,1,1,28,3,0,0,1,1
48948,1,1939,1,1,6,6,8,2,0,3,4,25,2,0,1,1,1
48948,2,1942,2,2,6,6,8,2,0,3,4,25,2,1,0,1,1
48969,1,1975,2,2,5,3,1,2,0,NA,NA,NA,2,1,0,1,1
48969,2,1974,1,1,5,5,1,2,0,NA,NA,NA,2,0,1,1,1
49061,1,1995,2,1,7,7,6,2,0,NA,NA,NA,2,1,1,1,2
49061,3,1994,1,3,7,7,6,2,0,NA,NA,NA,2,0,0,1,2
49077,1,1944,1,1,5,5,11,2,0,3,3,20,2,0,1,1,1
49077,2,1945,2,2,4,4,11,2,0,3,3,20,2,1,0,1,1
49102,1,1947,1,2,5,5,8,2,0,5,4,25,2,0,0,1,1
49102,2,1950,2,1,6,6,8,2,0,5,4,25,2,1,1,1,1
49111,1,1948,2,1,6,6,8,1,0,NA,NA,NA,1,1,1,0,1
49118,1,1975,1,1,5,5,1,4,2,NA,NA,NA,3,1,1,1,1
49118,2,1977,2,2,5,5,1,4,2,NA,NA,NA,3,0,0,1,1
49118,3,2011,1,5,2,8,13,4,2,NA,NA,NA,3,0,0,1,1
49118,4,2013,2,5,2,8,13,4,2,NA,NA,NA,3,0,0,1,1
49202,1,1971,1,1,6,5,1,1,0,NA,NA,NA,1,1,1,0,2
49264,1,1968,2,2,5,5,1,4,2,4,4,25,3,1,0,1,1
49264,2,1967,1,1,5,5,1,4,2,4,4,25,3,0,1,1,1
49264,3,1998,2,5,5,5,6,4,2,4,4,25,3,0,0,1,1
